Stations,1KA102,1KA104,1KA112,1KA107,1KA113,1KA100,1KA103,1KA108,1KA111,1KA106,1KA115,1KA110,1KA109,1KA114,1KA105,9535005,9535006,9536004,9536017,9635012,9636013,9636020,9637045,9637047,9637048,9637052,9637043,9737024,9737026,9738016,9639030,9635002,9637033,9735014,9638028,9737030,9637002,9839005,9836002,9637077,9539016
198802,157.5,93.6,36.8,49.8,-99,-99,-99,-99,24.5,126.1,-99,-99,-99,-99,-99,-99,-99,28.8,15.1,51.9,4.4,-99,69,10.5,14.2,87.5,72.5,218,156.2,63.2,13.2,73.8,71.2,64.2,18.3,102.4,25.2,94,243.2,33.7,14.2
198803,194.8,330.9,263.1,245.2,-99,-99,-99,-99,44.6,270.6,-99,-99,-99,-99,-99,-99,-99,252.8,222.1,232,100.6,-99,384,127.5,0,66.5,147.5,126.1,98.9,143,105.2,196.2,119.2,282.6,121.9,334.9,213.3,61.2,457.6,191.9,36.1
198804,7.5,83.7,16.6,76.4,-99,-99,-99,-99,23.9,7.4,-99,-99,-99,-99,-99,-99,-99,6.8,23.4,2.3,5,-99,377.5,122.3,105.5,78.7,123,188.1,291.9,244.4,245.7,5.5,148.4,9.6,204.3,229.2,158.6,74,194.4,87.1,255.7
198805,0,0,3,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,97,21.7,5.1,18.5,50.5,152.5,83.5,33,15.3,0,36.4,0,43.4,100.4,93.9,0,129.8,12.7,163.7
198806,0,3.5,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,-99,385.5,28.9,83.6,16.5,28.5,149.8,72.5,73.5,78.5,0.6,88.5,0,63.6,58,29.2,55,25.2,44.8,247.3
198807,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,9.5,0,0,0,0.5,56.3,7.2,0,9.3,0,1.9,0,9.4,0.4,7.7,2,0,0,33.5
198808,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,148,10.2,6.1,0,5,114.1,-99,11,48.2,0,13.5,0,6.2,19.4,30.1,19,52.1,17.6,47.4
198809,0,0,0,4.7,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,244,27.5,0,44.8,10.5,159.6,81.8,24.6,32.7,0,21.5,0,26.4,11.4,12.3,5,4.3,33.4,90.2
198810,0.9,0,0,11.3,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,0,-99,123,27.9,27.3,26.9,28.5,251.1,72.1,6,8.8,0,10.1,4.1,7.2,18.3,12.4,9,24.5,27.5,81.6
198811,18.3,33,0,14.3,-99,-99,-99,-99,15,24.3,-99,-99,-99,-99,-99,-99,-99,25,7.8,-99,0,-99,544.3,100.4,61.5,14.3,64,804.4,79.4,144.3,62.4,0,34.2,19.7,51.1,95.9,49,57.1,121.7,51.7,126.4
198812,97.1,151.6,42.5,95.9,-99,-99,-99,-99,47.9,82.5,-99,-99,-99,-99,-99,-99,-99,135.9,183.4,0,174.3,-99,601,126.6,90,142.7,112,525.4,189.8,202.1,152.7,117.1,116.3,89.1,186.4,281.2,246.2,194.5,305.8,170.1,136.6
198901,163.6,271.2,235.1,285,-99,-99,-99,-99,140.1,222.2,-99,139,-99,-99,-99,-99,-99,143.3,193.9,198.3,163.5,-99,496.5,275.9,79.7,194.6,195,306.2,241.1,112.7,268.2,170.1,146.7,235.8,320.2,217.6,144.6,218.8,281.8,229,115.6
198902,66.8,55.4,39.8,122,-99,-99,-99,-99,95.5,63.5,-99,142.7,-99,-99,-99,-99,-99,28.1,59.3,86.1,64.6,-99,54,12.9,0,10.9,69.5,74.9,51.3,0,0,107.1,52.6,54.1,0.2,95.4,56.5,9,304.5,7.2,0
198903,163,169.6,170.3,182.2,-99,-99,-99,-99,69.5,138.2,-99,298.5,-99,-99,-99,-99,-99,65.7,90.7,124.8,101.3,-99,157,96.5,88.1,49.4,107,255.6,146.4,57.3,105.3,149.9,129,133.2,80.9,255.2,156.4,148.8,389.7,145.8,76.4
198904,39.5,94.5,76.2,44.5,-99,-99,-99,-99,84.6,68,-99,143.7,-99,-99,-99,-99,-99,192.2,131.3,80.8,159.5,-99,902.5,188.2,137.8,414.3,377.5,437.5,294.5,248.4,259.3,121.8,181,53.8,175.2,490.5,206.7,272.3,482.5,250.4,200.3
198905,0,10.1,1,7,-99,-99,-99,-99,0,45.8,-99,20.5,-99,-99,-99,-99,-99,5.7,0,15.8,7.5,-99,450,96.4,115.2,127.2,151.5,175.6,91.8,92.1,196.5,1,91.5,8.7,190.1,241.6,125.4,120.9,298.4,112.7,213.9
198906,0,2.7,0,0,-99,-99,-99,-99,0,2.1,-99,7,-99,-99,-99,-99,-99,4.4,0,0,0,-99,110.5,4.2,11.2,11,25,43.8,100.3,16,34.6,0.7,56.9,0,19.9,36.4,64.2,93.5,70.9,9.9,49.4
198907,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,17,0,9.2,2.5,7,7.9,6.2,20.4,5.7,0,4.7,0,1.6,8.6,0,5.3,30,3.9,30.2
198908,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,78,0,12.2,0,16,56.7,53.1,9,33.7,0,20.1,0,34.3,6.6,9.9,20.5,27.8,6.8,120.7
198909,0,1,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0.3,-99,32,0,0,0.5,4.5,99.5,7.1,-99,22.8,0,1.3,0,3.9,2.5,1.8,0,8.7,0.4,43.4
198910,0,2.8,0,10.9,-99,-99,-99,-99,0,0.6,-99,0,-99,-99,-99,-99,-99,8.6,25.8,0.7,7.4,-99,321,27.1,35.2,75.9,148,169.8,124,-99,72.3,1.5,78.4,0,71.2,59.5,47.9,16.8,39,71.8,184.7
198911,26.7,89.3,12.6,48,-99,-99,-99,-99,53,66.7,-99,40.1,-99,-99,-99,-99,-99,52.6,82.1,26.8,0,-99,264,80.9,13.2,55,69,364.9,115.3,91.3,28,43.1,60.8,49.4,73.1,131.8,117.8,7.1,216.8,85.5,150.2
198912,253.3,224.7,132.2,212.9,-99,-99,-99,-99,116.1,351.5,-99,335.5,-99,-99,-99,-99,-99,171.6,147.6,235,396.8,-99,108,45.6,33.3,96.3,154.3,423.6,100.2,-99,175.6,240.8,153.9,135.1,141.1,283.5,134,98.2,646,100.5,120.2
199001,107.9,115.1,170.5,112.5,-99,-99,-99,-99,103.2,162.2,-99,-99,-99,-99,-99,-99,-99,85,-99,51.9,73.8,-99,166.8,37.5,5.1,83,216,355.1,134,75.4,110.2,34.8,75.4,40.3,48.8,125,112.3,17.2,318.3,83.6,36.6
199002,158.7,144.2,105.3,221,-99,-99,-99,-99,169.9,-99,-99,-99,-99,-99,-99,-99,-99,209.5,140.7,225,244.1,-99,286,133.4,33.3,181.6,140.5,181.3,0.2,123.4,160.9,145,147.9,106.7,173.2,140.1,197.7,126.2,263.1,187.3,134
199003,67.2,191.4,177.6,264.4,-99,-99,-99,-99,197,93.9,-99,-99,-99,-99,-99,-99,-99,97.9,140.7,94,38,-99,505.4,212.9,67.8,271.5,343.5,505,-99,96.5,93.5,190.9,276.6,164.2,268.6,257.3,251.9,150.2,500.4,229.1,251.4
199004,91.2,114,241.2,116,-99,-99,-99,-99,76.7,85.7,-99,-99,-99,-99,-99,-99,-99,202,41.5,113.4,79.7,-99,532.7,136,100.3,-99,256,228.8,-99,280.1,271.5,118.5,185.8,111.9,104.1,200.7,210.2,68.6,430.6,193.6,344.8
199005,5.5,1.4,1.6,16.8,-99,-99,-99,-99,13.1,6.6,-99,-99,-99,-99,-99,-99,-99,0,8.6,0,0,-99,150.4,30.9,21.5,-99,100,28.1,-99,67.3,100.3,0,25.7,4.8,75.3,125,20.5,144.5,68.4,56.8,124.2
199006,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,14.5,0,0,22.5,0.5,34.1,2.3,6.2,29.2,0,0,0,3.6,9.8,0,0,0,10.2,61.7
199007,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,4.9,0,0,-99,22,0,17.5,30.3,6.5,23.5,24,30.6,29.9,0,1.7,0,4.6,8.9,0.9,3.8,0,9,12.6
199008,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,67,0,12,20.3,11,56.7,24.3,0,7.3,0,18.8,0,3.9,6.4,13.5,1,21.7,7,36.5
199009,0,0,0,-99,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,0,8.3,-99,198,5.2,10.3,24.1,29,58.4,4.4,24.4,23.6,0,14,0,19.6,10.2,8.7,1.6,15.1,30.5,35.9
199010,0,0,0,-99,-99,-99,-99,-99,5.2,0,-99,4.3,-99,-99,-99,-99,-99,0,0,0,0,-99,85.8,0,0,0.6,40.5,16,-99,43.2,29.6,0.7,10,0.8,55,16.2,15.1,0,61.5,6.8,45.1
199011,0,6.2,5.4,-99,-99,-99,-99,-99,3,3.9,-99,40.2,-99,-99,-99,-99,-99,33.1,0,5.9,7.5,-99,683.4,93.3,89.1,161.9,229.5,351.1,217,163.5,230.2,7,79,23,181.8,163,111.6,94.7,190.1,158.8,101.6
199012,104.4,64.1,34.3,-99,-99,-99,-99,-99,58.2,83.8,-99,124.3,-99,-99,-99,-99,-99,50.8,172.8,2.8,87,-99,56.5,9.2,0,60.2,50,241.8,43.8,108.8,55.6,5.1,43.1,51.8,24.2,-99,62.3,38.2,267.3,67.8,89.5
199101,215.5,215.6,254.4,-99,-99,-99,-99,-99,76.6,138.9,-99,278.6,-99,-99,-99,-99,-99,84.6,-99,-99,145.4,-99,198,85.6,34.5,0,171.5,298.6,285.8,-99,92.9,118,244.4,223.2,137.4,177.6,142.9,37.7,514.9,140.1,83.4
199102,120.8,125.3,63.7,-99,-99,-99,-99,-99,54.2,113.3,-99,64.6,-99,-99,-99,-99,-99,25,-99,-99,47.4,-99,12,0,0,4.1,35,69.9,4.9,5.2,17.3,166.8,43,55.2,0.1,23.3,30.1,92.5,156.1,0.7,0
199103,71.1,118.3,179.7,-99,-99,-99,-99,-99,39.6,118.2,-99,79.5,-99,-99,-99,-99,-99,155.9,-99,-99,97.6,-99,227.5,137.6,52.5,94.5,52,155.7,87,-99,75.2,121.1,261.6,100.6,64.3,265.9,200.9,308,520.1,94.5,162.7
199104,158.2,140.6,37.5,-99,-99,-99,-99,-99,32.2,134.7,-99,352.4,-99,-99,-99,-99,-99,3.9,-99,-99,32.4,-99,491,140.3,113.9,187.1,136.5,495.9,232.7,74.3,17.4,26.2,121.9,69,64.4,520.7,101.9,86.7,463.3,211.8,114.3
199105,8.5,0,0,-99,-99,-99,-99,-99,9.6,0,-99,21.8,-99,-99,-99,-99,-99,0,-99,-99,0,-99,533.4,95.2,51.2,72.9,155,149,136.5,63.5,353,0,85.9,5.8,208.8,152.1,74.1,152.4,113.8,59.4,308.6
199106,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,-99,-99,0,-99,38.5,24.9,10.1,3.8,3,18.6,19.2,0,4.6,0,4.3,0,2.1,10.3,2,9.3,30.5,2.9,54.1
199107,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,-99,-99,0,-99,128.5,0,8.2,14,9,-99,7,0,28.9,0,68.9,0,12.7,29.8,27.1,-99,9,26.6,55.2
199108,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,-99,-99,0,-99,103,0,18.4,13.1,25,-99,8.5,0,21.7,0,25.8,0,8.7,3.9,7.8,0,17.4,2.9,166.1
199109,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,-99,-99,0,-99,58,14.6,0,0,26,-99,0.7,27,13,0,97.8,0,7.5,16.6,-99,5.5,23.8,9.6,18.2
199110,4.7,33.3,0.7,-99,-99,-99,-99,-99,17.3,27.1,-99,49,-99,-99,-99,-99,-99,-99,-99,-99,0.3,-99,59,0,7.1,0,11.5,-99,17.2,47.3,25.7,0,2.4,0.9,10.9,6.7,3,10.5,8.2,6.7,48.1
199111,-99,9,0,-99,-99,-99,-99,-99,0.7,0,-99,82.5,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,334.5,23.8,17.3,4.2,21,-99,115.8,87.5,218.6,2.9,79.1,0,55.6,55.4,59.1,67.8,100.9,17.7,127.6
199112,131.1,158.3,99.8,-99,-99,-99,-99,-99,55.2,125.6,-99,140.6,-99,-99,-99,-99,-99,0,-99,-99,92.9,-99,235,79.1,61.7,215.5,321.5,-99,213,-99,187.4,127.8,277,108,72.4,185.1,270.2,171.5,491.9,183.8,99.6
199201,71.8,116.4,4.6,-99,-99,-99,-99,-99,19.8,127.5,-99,278,-99,-99,-99,-99,-99,-99,-99,-99,12.4,-99,36.5,0,8.2,0.3,0,-99,47.7,-99,9.2,6.4,8.9,46.2,3.9,31.8,6.5,26.4,107.2,13.4,7.8
199202,253.9,220.1,208.9,-99,-99,-99,-99,-99,58.7,209.6,-99,361.1,-99,-99,-99,-99,-99,-99,-99,-99,143.8,-99,213,72.1,20.2,40.4,155,-99,164.6,-99,114.6,202,170.5,184.6,74.3,207.4,150.3,94.4,815.1,20.7,1.2
199203,31.6,148.5,61,-99,-99,-99,-99,-99,30.7,162,-99,200.5,-99,-99,-99,-99,-99,-99,-99,-99,22.5,-99,404.9,163,69.7,132.5,50.5,-99,230.2,-99,51.3,127.8,187.1,94.9,99.2,241.1,115.1,283.9,350.9,85,7.2
199204,24.9,103.5,9.6,-99,-99,-99,-99,-99,68.6,61.1,-99,177.4,-99,-99,-99,-99,-99,-99,-99,-99,80,-99,891.4,175.6,88.4,206.1,333,-99,488.8,-99,325.4,32.9,442.2,37.7,350.6,588.6,200.1,422.9,596.9,239.4,316.6
199205,0,10.9,0.5,-99,-99,-99,-99,-99,11,4.9,-99,91.7,-99,-99,-99,-99,-99,-99,-99,-99,0.4,-99,359,106.9,37.8,47.9,118.1,-99,76,-99,288.1,11.9,121.5,9.6,148.6,198.4,78,98.8,192.1,86.9,351.1
199206,0,0,0,-99,-99,-99,-99,-99,0,0,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,17,34.5,10.2,20.3,15.5,-99,92.3,-99,37.2,0,29.5,0,28.5,76.7,6.5,26.4,28.8,21.1,73.5
199207,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,52.5,0,0,0,7.5,-99,16.7,-99,34.8,0,1.9,0,18,1.2,0,0,0,4.7,51.7
199208,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,15.5,0,0,0,0.5,-99,1.8,-99,3.1,0,42.5,0,0.1,1.8,14.3,0,0,0,42.8
199209,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,4.5,5.2,40.7,2,10.5,-99,15.7,-99,20.9,0,0.1,0,40.3,0.3,1,23.6,0,1.5,62.3
199210,0,31.5,0,-99,-99,-99,-99,-99,0,2.6,-99,19.6,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,3.5,0,0,0,0,-99,-99,-99,2.6,0,0,13,2.6,0,0,4.8,0,0,36.8
199211,38.6,172,103.1,-99,-99,-99,-99,-99,71.4,131.6,-99,99.2,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,350.4,75.1,35.5,92.3,192,-99,-99,-99,138.3,42.7,322.5,29.7,139.5,199.5,144.5,115.8,181,107.3,375.1
199212,99.6,112.2,35.2,-99,-99,-99,-99,-99,96.5,43.4,-99,127,-99,-99,-99,-99,-99,-99,-99,-99,77.3,-99,457,122,45.8,36.8,35,-99,-99,-99,120,63.4,139.9,32,49.9,104.5,115.2,158.8,503.6,122.4,87.5
199301,73,186.9,204.2,-99,-99,-99,-99,-99,172.1,226,-99,233.4,-99,-99,-99,-99,-99,-99,-99,-99,195.9,-99,-99,34.6,45.6,-99,31.5,-99,-99,44.9,71.3,180.5,96.5,260,77.6,206.4,97.1,174.4,279.8,32.1,34.6
199302,114.1,170.8,63.1,-99,-99,-99,-99,-99,198.6,251.2,-99,113,-99,-99,-99,-99,-99,-99,-99,-99,84.5,-99,-99,100.4,53.3,-99,154.5,-99,-99,88.3,34.8,171,90.6,90.5,89.6,139,84.3,-99,160.5,157.3,8.5
199303,164.8,126.4,103.5,-99,-99,-99,-99,-99,96.3,100.7,-99,212,-99,-99,-99,-99,-99,-99,-99,-99,26.1,-99,-99,34.5,62.7,-99,158,-99,-99,0,118.2,70.4,301,147,92.2,229.8,162.6,-99,606.8,117.8,22.8
199304,16.6,87.7,2.1,-99,-99,-99,-99,-99,36,34.9,-99,136.4,-99,-99,-99,-99,-99,-99,-99,-99,17.4,-99,-99,180.8,124.2,-99,332.5,-99,-99,95.9,322.6,38.4,370.8,45,306.2,285.8,342.6,418.8,752.4,296.4,255.3
199305,0,8.9,0.8,-99,-99,-99,-99,-99,20.8,0,-99,61.6,-99,-99,-99,-99,-99,-99,-99,-99,7.3,-99,-99,83.3,42.5,-99,90.5,-99,-99,49.9,199.4,0,115.1,3.3,147.7,211.8,45.4,28.1,292.8,89.7,196.7
199306,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,0,0,-99,16.5,-99,-99,0,17.4,0,1.8,0,4.3,32.5,2.6,0,27.3,12.7,65.8
199307,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,0,0,-99,11,-99,-99,44.9,14.1,0,2.6,0,35,44.3,0,33.7,35.6,5.4,19.9
199308,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,0,0,-99,0,-99,-99,8.5,10.1,0,6.7,0,7,0.9,17.2,12.5,6,4.7,65.7
199309,0,0,0,-99,-99,-99,-99,-99,0,0,-99,1.8,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,0,0,-99,0,-99,-99,0,9.1,0,4,0,12.1,3.8,1.4,8.1,0,0.5,48.1
199310,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,1.2,-99,-99,15.5,0,-99,72.5,-99,-99,29.6,109.9,37.3,8.3,0.1,61.8,23,0,12.1,0,45.8,68.5
199311,0,29.4,0,-99,-99,-99,-99,-99,14,0,-99,25.2,-99,-99,-99,-99,-99,-99,-99,-99,12.1,-99,-99,23.8,0,-99,17,-99,-99,76.3,161.5,5.6,45.5,5.1,36.9,54.7,19.9,100.8,110.7,37.4,116.1
199312,0,4.8,0,-99,-99,-99,-99,-99,0,0,-99,60.6,-99,-99,-99,-99,-99,-99,-99,-99,0.2,-99,-99,0,10.2,-99,15,-99,-99,22.2,86.9,0,0.7,2.8,5.2,5.9,177.4,0,99.9,0.8,146
199401,185.3,179,90.7,-99,-99,-99,-99,-99,112,103.1,-99,208,-99,-99,-99,-99,-99,-99,-99,-99,179.2,-99,48,0,23.3,54.4,227.5,-99,182.3,17.8,54.6,238.3,244,188.9,2.8,147.6,145.8,69.4,282.6,54,1.4
199402,117,137,191.7,-99,-99,-99,-99,-99,-99,158.4,-99,196.6,-99,-99,-99,-99,-99,-99,-99,-99,124,-99,180,0,32.1,110.8,123,-99,125.2,5.3,100.1,170.4,160.2,117.2,131.3,281.8,199.2,188,511.6,134.6,85
199403,135.7,119.5,144.5,-99,-99,-99,-99,-99,113.2,154.7,-99,308.8,-99,-99,-99,-99,-99,-99,-99,-99,61.7,-99,319,0,98,116.2,119,-99,150.1,22.3,99.7,48.9,232.6,233.7,243.4,283.7,203.9,118.7,588.5,77.4,161.4
199404,38.5,22.1,3.5,-99,-99,-99,-99,-99,6.7,41.1,-99,68.7,-99,-99,-99,-99,-99,-99,-99,-99,13.6,-99,432.9,137.6,216.2,121,123.5,-99,316.1,152,289.2,4.4,80.5,11.3,285.9,214.1,57.5,194.8,374.3,168.8,311.9
199405,0,0,0,-99,-99,-99,-99,-99,18.2,0,-99,12.6,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,473.7,79,129.6,47.4,154,-99,136.9,99.2,171.1,0.2,22.1,0,101.4,121.4,24.4,54,96.4,88.2,217.9
199406,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,59,0,11.2,5.4,9,-99,2,27.1,4.4,0,10.2,0,40,6.5,2.5,0,0,8.2,47.1
199407,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,74.5,0,15.5,35,19.5,-99,-99,11.4,50.1,0,4.9,0,17.6,32.2,0,0,44.2,37.1,115.7
199408,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,87.3,0,6.1,0,3.5,-99,-99,0,10,0,27.1,0,8.6,10.6,4.8,6.1,14.2,18.7,60.3
199409,4.8,0,0,-99,-99,-99,-99,-99,0,0,-99,2.4,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,37.5,0,5.3,26.5,0.5,-99,-99,3,9.3,0,0.7,10.3,1.8,0,0,0,0,6.4,140.6
199410,0,3.5,1.8,-99,-99,-99,-99,-99,7.5,7.6,-99,35.6,-99,-99,-99,-99,-99,-99,-99,-99,5.5,-99,204.8,45.6,0,24.7,0,-99,-99,84.4,69,0,39.6,4.4,69.6,130.5,46.7,14.9,97.1,26,91.9
199411,38.1,36,0,-99,-99,-99,-99,-99,22.6,14.6,-99,60.4,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,164.9,48.5,29.6,64.4,93,-99,-99,38.3,197.7,0.2,59.5,1.2,140.5,69.6,58,43.2,68.3,43.5,214.3
199412,-99,179.4,19.4,-99,-99,-99,-99,-99,60.4,57.8,-99,66.6,-99,-99,-99,-99,-99,-99,-99,-99,70,-99,158.5,0,43.2,47.6,20.5,-99,-99,68.8,228.7,68.4,66.3,84.8,96,52.4,106.9,200.1,288.6,49.2,242.2
199501,158.5,186,229.7,-99,-99,-99,-99,-99,222.6,72.6,-99,171.4,-99,-99,-99,-99,-99,-99,-99,-99,207.7,-99,110.5,87.7,24.4,68.9,208.5,-99,114.7,-99,12.5,226.2,182.6,73.3,13.1,179.1,76.7,76.4,246.6,148.2,0.4
199502,98.3,117.2,95.4,-99,-99,-99,-99,-99,68,185.6,-99,205,-99,-99,-99,-99,-99,-99,-99,-99,74.8,-99,115.5,48.2,31.7,95.6,196,-99,151,-99,110.1,100.7,83.1,150.9,71.7,137,55.7,177.5,327.4,98.5,20.2
199503,263.2,180,75.8,-99,-99,-99,-99,-99,90,54.9,-99,206.3,-99,-99,-99,-99,-99,-99,-99,-99,89.6,-99,523,192,83,134.2,142,-99,450.5,-99,310.6,130.6,204.2,188.3,302.5,542.6,205.6,143.3,570.9,185.8,89.8
199504,0,15.7,0,-99,-99,-99,-99,-99,24.4,19.4,-99,107.1,-99,-99,-99,-99,-99,-99,-99,-99,8.8,-99,829,184.9,131.9,156.3,204,-99,377.3,-99,264.9,0.2,104.6,10.7,302.3,306.5,132.9,275.7,339.5,246.7,320.5
199505,0,16.5,0,-99,-99,-99,-99,-99,0,0,-99,7.8,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,705.9,157.1,127.2,108.8,100,-99,254.3,-99,374.2,5.1,61.5,31.8,307.1,98,62.6,168.2,236.7,134.2,227.8
199506,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0.6,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,3.5,0,11.1,0,0,-99,0.6,-99,2.1,0,2.3,0,0,15,0,0,0,0,8.6
199507,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,21.4,0,0,0,0.5,-99,22.6,-99,7.6,0,0,0,3.5,0,3.2,0,0,1.3,49.1
199508,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0.5,-99,258.4,32.9,18.4,21.4,39,-99,93.1,-99,106.5,0,26.8,0,-99,28.8,38.1,40.7,42.1,29.1,105.9
199509,0,0,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,76,19.9,0,10,0,-99,14.7,-99,4.6,0,14.6,1.6,22.7,12.5,4.5,36.8,23.4,13.1,47.6
